Team,2016,2015,2014,2013
Rams,25 (1),24.94 (1),25.09 (1),24.98 (1)
Browns,25.08 (2),26.06 (16),25.69 (9),25.25 (2)
Packers,25.36 (3),25.49 (3),25.62 (6),25.42 (6)
Jaguars,25.43 (4),25.25 (2),25.2 (2),25.41 (5)
Broncos,25.47 (5),26.19 (18),25.81 (12),26.75 (28)
Chiefs,25.54 (6),25.83 (6),25.34 (3),25.68 (8)
Seahawks,25.6 (7),25.92 (12),25.65 (7),25.31 (4)
Bucs,25.7 (8),25.91 (11),25.66 (8),25.98 (14)
Chargers,25.73 (9),26.32 (21),26.64 (28),26.28 (21)
Bears,25.85 (10),26.21 (19),26.72 (30),26.77 (29)
Titans,25.87 (11),25.83 (9),26.39 (23),26.19 (19)
Cowboys,26 (12),26.02 (14),25.44 (4),26 (15)
Raiders,26.02 (13),26.45 (23),27 (32),26.11 (17)
Giants,26.02 (14),26.53 (25),26.75 (31),26.66 (27)
Patriots,26.07 (15),25.95 (13),25.76 (11),25.88 (11)
49ers,26.08 (16),25.83 (8),26.36 (22),26.56 (25)
Cardinals,26.09 (17),26.35 (22),26.6 (27),26.79 (30)
Lions,26.09 (18),26.53 (24),26.34 (21),27.15 (32)
Texans,26.17 (19),25.81 (5),25.98 (16),26.22 (20)
Dolphins,26.19 (20),25.62 (4),25.92 (15),25.7 (9)
Jets,26.23 (21),26.6 (27),25.85 (13),25.6 (7)
Bills,26.3 (22),25.87 (10),25.72 (10),25.3 (3)
Bengals,26.3 (23),26.28 (20),25.91 (14),25.91 (12)
Steelers,26.34 (24),26.57 (26),26.26 (18),26.45 (23)
Washington,26.36 (25),26.15 (17),26.44 (24),26.84 (31)
Saints,26.4 (26),26.7 (29),26.32 (20),26.32 (22)
Ravens,26.43 (27),26.04 (15),26.04 (17),26.16 (18)
Eagles,26.49 (28),26.69 (28),26.26 (19),25.74 (10)
Colts,26.52 (29),27.17 (32),26.66 (29),26.55 (24)
Panthers,26.53 (30),26.89 (31),26.57 (26),26.57 (26)
Vikings,26.58 (31),25.83 (7),25.58 (5),25.96 (13)
Falcons,27.08 (32),26.77 (30),26.57 (25),26.08 (16)